Product  Name,Farmers Distance,Farmers Seling Price,Wholesalers distance,Wholesalers selling price,Retailers distance,Retailers selling price,High Cost Product,Market Structure,Power imbalance,Lack of information,Limited access to finance,inadequate logistic,Lack of policy support,Dependence on middlemen,Climate Change,Inadequate govt support,Quality and Grading,Market power of intermedianies
Banana,2,15,16,20,1,25,3,2,3,4,4,3,5,4,2,4,1,4
Lemon,1,15,16,20,1,25,3,3,4,4,2,4,5,5,1,2,2,5
Brinjal,0.5,50,30,60,2,70,5,3,3,3,3,3,3,3,2,4,3,4
Basil,0.5,20,30,25,1,30,4,2,4,4,1,4,3,4,3,3,3,3
Pumpkin,1,15,10,18,3,20,3,3,2,4,2,3,2,3,4,4,3,4
Palwal,1,35,10,40,2,45,3,3,3,3,3,3,3,4,3,4,3,4
Papaya,1,15,10,18,1,20,2,3,3,4,1,4,4,3,2,4,2,4
Red Leafy,0.5,5,30,7,2,10,2,3,3,2,2,2,4,3,2,3,2,3
Onion,1,30,10,36,1,40,3,3,4,3,3,4,5,5,4,5,1,5
Collard greens,1,5,1,7,1,10,2,5,2,2,2,4,4,2,2,2,1,2
Ghee Kanchan,1,5,1,7,3,10,2,4,2,2,1,4,4,2,2,2,3,2
Green Chili,1,25,16,30,3,40,4,2,5,4,2,3,5,5,3,5,2,5
Gourd,1,25,3,30,2,40,4,2,4,4,3,4,3,4,4,4,2,4
Hog Plum,2,18,2,22,3,30,3,2,3,4,1,4,5,4,3,4,2,4
Potato,0.5,20,10,24,1,30,3,3,3,2,1,2,2,3,3,3,3,3
Garlic,0.5,50,10,60,1,70,5,3,4,3,2,3,3,5,4,5,3,5
Zucchini,1,15,10,18,2,25,3,2,3,4,3,4,3,4,2,4,2,4
Bitter gourd,2,20,30,25,3,50,5,3,3,4,2,3,3,4,2,4,2,4
Cucumber,1,25,30,30,1,50,5,2,3,3,4,4,4,4,3,4,3,4
Cabbage,0.5,15,16,20,1,40,5,3,5,2,4,3,5,3,2,4,2,4
Coconut,0.5,100,30,210,1,220,5,2,4,4,3,5,5,5,3,5,1,5
Rhythm,4,20,6,30,2,35,4,2,3,5,5,4,3,2,2,2,2,2
Potato        ,2,43,5,58,2,63,3,3,3,2,2,2,3,3,3,3,2,3
Tomato,3,12,2,17,1,20,3,5,3,2,2,2,4,4,3,4,3,4
Onion,1.5,15,6,18,7,20,3,3,4,3,5,4,3,5,4,5,2,5
Garlic,4,20,3,28,4,33,5,3,5,3,4,3,2,5,4,5,3,5
Carrots,3,9,4,13,3,15,3,4,3,3,4,3,3,4,3,4,3,4
Cucumber,2,10,0.5,13,1,17,5,2,3,3,3,4,5,4,3,4,3,4
Brinjal,1,33,12,38,3,45,5,3,5,3,5,3,3,3,2,4,4,4
Ladies finger,2,7,6,9,2,11,2,4,2,2,4,2,4,3,3,3,4,3
Peas,2,15,4,18,3,22,2,2,2,3,4,3,2,2,2,2,3,2
Radish,6,20,7,23,4,26,3,4,2,2,4,2,3,3,2,2,4,2
Turnip,3,12,5,14,2,18,3,3,3,4,4,2,5,4,3,3,4,3
Bitter gourd,6,14,8,17,4,20,5,4,3,4,5,3,4,4,2,2,4,4
Cabbage,5,19,3,22,2,26,5,3,4,2,2,3,4,3,2,3,2,4
Spinach,8,14,5,16,4,20,2,2,2,3,3,4,5,1,1,1,3,1
Red Leafy,9,18,7,22,5,24,2,3,3,2,4,2,4,3,2,3,4,3
Corn,3,15,4,19,2,23,3,5,3,2,5,2,4,3,2,4,4,4
Snake Gourd,5,28,2,34,4,37,4,3,3,3,5,2,3,4,2,3,3,3
Green Chili,3,17,3,20,3,24,4,2,4,4,4,3,4,5,3,3,5,5
Banana,3,6,4,8,1,9,3,2,3,4,4,3,5,4,2,4,3,4
Bottol gourd,2,19,0.5,22,7,26,3,3,3,4,4,3,4,4,4,3,5,3
Brinjal,1,14,12,17,4,19,5,3,3,3,3,3,3,3,2,4,5,4
Ridge Gourd,2,23,6,27,3,33,3,4,5,3,2,3,4,4,2,4,0,3
Papaya,2,11,4,14,1,17,2,3,3,4,2,4,2,3,2,4,3,4
Arum lobe,6,10,3,15,3,25,4,2,2,4,3,4,4,2,1,3,4,2
Arum lobe,9,25,4,30,2,40,4,2,2,4,4,4,3,2,1,5,4,2
Pumpkin,3,5,7,8,3,15,3,3,2,4,4,3,4,3,4,2,3,4
Palmyra Palm,5,20,12,25,4,30,4,2,3,4,1,4,5,3,1,2,4,3
Turnip,3,25,6,20,4,30,3,3,3,4,3,2,4,4,3,5,2,3
Small shrimp,3,200,4,400,2,600,5,4,3,4,4,4,5,4,1,4,3,3
Hilsa Fish,2,1000,6,1200,4,1500,5,3,4,4,3,3,5,5,2,4,3,5
Lemon,50,10,0.5,15,1,25,3,3,5,4,5,4,3,5,1,3,4,5
White Pumpkin,5,15,14,18,2,21,3,4,3,3,4,3,5,3,2,5,4,3
Basil,5,10,0.5,12,1,23,4,2,4,4,3,4,4,4,3,4,3,3
Palm,5,10,0.5,15,3,24,4,2,3,4,3,4,4,4,3,4,5,3
Pumpkin,3,10,5,20,1,30,3,3,2,4,2,3,2,3,4,4,3,4
Hog Plum,64,10,15,15,4,25,3,2,3,4,1,4,4,4,3,4,5,4
Gati,11,25,11,30,1,40,4,2,3,4,3,3,3,3,3,5,5,3
Zucchini,10,5,7,8,5,15,3,2,3,4,1,4,4,4,2,2,4,4
Sweet Bitter Gourd,5,20,109,25,3,30,5,3,3,4,2,3,4,4,2,3,3,4
Palwal,0.5,25,109,20,6,30,3,3,3,3,4,3,3,4,3,4,4,4
Radish,14,25,7,35,7,45,3,4,2,2,4,2,4,3,2,5,4,2
Red Leafy,1,10,4,12,2,15,2,3,3,2,3,2,2,3,2,5,3,3
Tomato,14,20,11,24,4,32,3,4,3,2,5,2,4,4,3,4,4,4
Carrots,114,20,11,26,3,32,3,5,3,3,2,3,2,4,3,4,2,4
Bean,114,50,14,110,6,130,5,3,3,3,2,3,4,4,2,4,3,3
Onion,106,28,14,36,7,40,3,3,4,3,5,4,2,5,4,3,3,5
Potato,57,20,5,23,4,25,3,3,3,2,4,2,2,3,3,2,2,3
